S.Score	G2M.Score	Phase
C551	-0.104886990347284	-0.168605384799549	G1
C552	0.170465387596233	0.133788144262764	S
C553	-0.0476898882157516	0.00324877185111588	G2M
C554	0.0860686036605672	0.111439201211433	G2M
C555	-0.121128211699255	-0.188401859934868	G1
C556	-0.130461430146553	-0.201440020139012	G1
C557	0.0225450271202555	0.0903819931833898	G2M
C558	0.0404464472170825	0.0924762121432759	G2M
C559	-0.0466495337616572	-0.133106362361589	G1
C560	-0.0738637313281302	-0.217750363019606	G1
C561	0.0478104888407525	0.332873281640331	G2M
C562	-0.161963512013736	-0.21195342584302	G1
C563	0.210636384341825	0.0611320944265067	S
C564	-0.0752007132067844	-0.216175186414098	G1
C565	-0.0247902646197681	-0.172178365504458	G1
C566	-0.130782630051147	-0.198498513855566	G1
C567	-0.0785036214382607	0.20162958672792	G2M
C568	-0.136580062187605	-0.206660224678755	G1
C569	0.0992931603576552	0.121994876460194	G2M
C570	0.224649941202836	0.255940969170237	G2M
C571	-0.0244982581933439	0.309796986407612	G2M
C572	-0.0984073362209383	-0.204958112906551	G1
